10.09, 10.00, 50.62, 49.38, 1.25
10.28, 10.00, 45.53, 54.47, -8.94
10.35, 10.00, 50.42, 49.58, 0.84
10.42, 10.00, 50.37, 49.63, 0.74
10.55, 10.00, 47.80, 52.20, -4.40
10.61, 10.00, 50.22, 49.78, 0.44
10.68, 10.00, 50.17, 49.83, 0.33
10.81, 10.00, 47.59, 52.41, -4.81
10.88, 10.00, 50.01, 49.99, 0.02
10.94, 10.00, 49.96, 50.04, -0.08
11.07, 10.00, 47.38, 52.62, -5.23
11.14, 10.00, 49.80, 50.20, -0.39
11.21, 10.00, 49.75, 50.25, -0.50
11.34, 10.00, 47.17, 52.83, -5.65
11.40, 10.00, 49.59, 50.41, -0.82
11.47, 10.00, 49.54, 50.46, -0.93
11.47, 10.00, 52.00, 48.00, 4.00
11.60, 10.00, 46.95, 53.05, -6.09
11.67, 10.00, 49.37, 50.63, -1.26
11.73, 10.00, 49.31, 50.69, -1.37
11.73, 10.00, 51.78, 48.22, 3.56
11.87, 10.00, 46.73, 53.27, -6.54
11.87, 10.00, 51.67, 48.33, 3.33
11.87, 10.00, 51.66, 48.34, 3.32
11.93, 10.00, 49.13, 50.87, -1.74
11.93, 10.00, 51.59, 48.41, 3.19
12.00, 10.00, 49.07, 50.93, -1.87
12.00, 10.00, 51.53, 48.47, 3.06
12.00, 10.00, 51.52, 48.48, 3.05
12.13, 10.00, 46.47, 53.53, -7.06
12.13, 10.00, 51.41, 48.59, 2.82
12.13, 10.00, 51.40, 48.60, 2.80
12.13, 10.00, 51.39, 48.61, 2.78
12.19, 10.00, 48.86, 51.14, -2.28
12.19, 10.00, 51.33, 48.67, 2.65
12.19, 10.00, 51.32, 48.68, 2.64
12.19, 10.00, 51.31, 48.69, 2.62
12.19, 10.00, 51.30, 48.70, 2.60
12.19, 10.00, 51.29, 48.71, 2.59
12.19, 10.00, 51.28, 48.72, 2.57
12.19, 10.00, 51.28, 48.72, 2.55
12.13, 10.00, 53.79, 46.21, 7.58
12.13, 10.00, 51.31, 48.69, 2.62
12.13, 10.00, 51.30, 48.70, 2.60
12.13, 10.00, 51.29, 48.71, 2.59
12.13, 10.00, 51.29, 48.71, 2.57
12.13, 10.00, 51.28, 48.72, 2.56
12.13, 10.00, 51.27, 48.73, 2.54
12.00, 10.00, 56.31, 43.69, 12.61
12.00, 10.00, 51.35, 48.65, 2.71
12.00, 10.00, 51.35, 48.65, 2.69
12.00, 10.00, 51.34, 48.66, 2.68
11.93, 10.00, 53.85, 46.15, 7.71
11.93, 10.00, 51.37, 48.63, 2.75
11.93, 10.00, 51.37, 48.63, 2.73
11.93, 10.00, 51.36, 48.64, 2.72
11.87, 10.00, 53.87, 46.13, 7.75
11.87, 10.00, 51.40, 48.60, 2.79
11.87, 10.00, 51.39, 48.61, 2.78
11.73, 10.00, 56.42, 43.58, 12.85
11.73, 10.00, 51.47, 48.53, 2.95
11.67, 10.00, 53.99, 46.01, 7.98
11.67, 10.00, 51.51, 48.49, 3.02
11.60, 10.00, 54.03, 45.97, 8.05
11.60, 10.00, 51.55, 48.45, 3.10
11.47, 10.00, 56.59, 43.41, 13.17
11.47, 10.00, 51.64, 48.36, 3.27
11.47, 10.00, 51.63, 48.37, 3.26
11.40, 10.00, 54.15, 45.85, 8.29
11.40, 10.00, 51.67, 48.33, 3.34
11.40, 10.00, 51.66, 48.34, 3.33
11.34, 10.00, 54.18, 45.82, 8.36
11.34, 10.00, 51.70, 48.30, 3.41
11.21, 10.00, 56.74, 43.26, 13.48
11.21, 10.00, 51.79, 48.21, 3.59
11.14, 10.00, 54.31, 45.69, 8.62
11.14, 10.00, 51.83, 48.17, 3.67
11.07, 10.00, 54.35, 45.65, 8.70
11.07, 10.00, 51.88, 48.12, 3.75
10.94, 10.00, 56.92, 43.08, 13.83
10.94, 10.00, 51.97, 48.03, 3.94
10.88, 10.00, 54.49, 45.51, 8.97
10.88, 10.00, 52.01, 47.99, 4.02
10.81, 10.00, 54.53, 45.47, 9.06
10.81, 10.00, 52.05, 47.95, 4.11
10.81, 10.00, 52.05, 47.95, 4.10
10.68, 10.00, 57.09, 42.91, 14.18
10.68, 10.00, 52.14, 47.86, 4.29
10.68, 10.00, 52.14, 47.86, 4.28
10.68, 10.00, 52.14, 47.86, 4.28
10.61, 10.00, 54.66, 45.34, 9.32
10.61, 10.00, 52.18, 47.82, 4.37
10.61, 10.00, 52.18, 47.82, 4.36
10.55, 10.00, 54.70, 45.30, 9.40
10.55, 10.00, 52.23, 47.77, 4.45
10.55, 10.00, 52.23, 47.77, 4.45
10.42, 10.00, 57.27, 42.73, 14.53
10.42, 10.00, 52.32, 47.68, 4.64
10.35, 10.00, 54.84, 45.16, 9.68
10.35, 10.00, 52.37, 47.63, 4.74
10.28, 10.00, 54.89, 45.11, 9.78
10.28, 10.00, 52.42, 47.58, 4.83
10.28, 10.00, 52.41, 47.59, 4.83
10.15, 10.00, 57.46, 42.54, 14.91
10.15, 10.00, 52.51, 47.49, 5.02
10.15, 10.00, 52.51, 47.49, 5.02
10.15, 10.00, 52.51, 47.49, 5.02
10.15, 10.00, 52.51, 47.49, 5.02
10.15, 10.00, 52.51, 47.49, 5.02
10.15, 10.00, 52.51, 47.49, 5.02
10.09, 10.00, 55.03, 44.97, 10.06
10.09, 10.00, 52.56, 47.44, 5.12
10.09, 10.00, 52.56, 47.44, 5.12
10.02, 10.00, 55.08, 44.92, 10.16
10.02, 10.00, 52.61, 47.39, 5.21
10.02, 10.00, 52.61, 47.39, 5.21
10.02, 10.00, 52.61, 47.39, 5.21
9.89, 10.00, 57.65, 42.35, 15.30
9.89, 10.00, 52.71, 47.29, 5.41
9.89, 10.00, 52.71, 47.29, 5.41
9.89, 10.00, 52.71, 47.29, 5.41
9.82, 10.00, 55.23, 44.77, 10.46
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.52
9.82, 10.00, 52.76, 47.24, 5.53
9.82, 10.00, 52.76, 47.24, 5.53
9.82, 10.00, 52.76, 47.24, 5.53
9.82, 10.00, 52.76, 47.24, 5.53
9.82, 10.00, 52.77, 47.23, 5.53
9.82, 10.00, 52.77, 47.23, 5.53
9.82, 10.00, 52.77, 47.23, 5.53
9.82, 10.00, 52.77, 47.23, 5.53
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.54
9.82, 10.00, 52.77, 47.23, 5.55
9.82, 10.00, 52.77, 47.23, 5.55
9.82, 10.00, 52.77, 47.23, 5.55
9.82, 10.00, 52.77, 47.23, 5.55
9.82, 10.00, 52.78, 47.22, 5.55
9.89, 10.00, 50.25, 49.75, 0.51
